card_id,disp_id,type,Issued
1005,9285,Gold,2017-11-07
104,588,Gold,2018-01-19
747,4915,Gold,2018-02-05
70,439,Gold,2018-02-08
577,3687,Gold,2018-02-15
377,2429,Gold,2018-03-03
721,4680,Sliver,2018-04-05
437,2762,Gold,2018-06-01
188,1146,Gold,2018-06-19
13,87,Gold,2018-06-29
732,4763,Gold,2018-07-21
181,1066,Gold,2018-08-19
384,2475,Sliver,2018-09-15
309,1946,Gold,2018-09-19
478,3084,Gold,2018-10-09
563,3589,Gold,2018-10-21
369,2363,Gold,2018-11-08
376,2428,Gold,2018-11-10
483,3115,Gold,2018-11-24
174,1039,Sliver,2018-12-04
658,4251,Gold,2018-12-25
763,5138,Sliver,2018-12-30
778,5275,Gold,2019-01-02
1039,9837,Gold,2019-01-07
477,3082,Sliver,2019-01-16
168,1018,Gold,2019-01-24
314,1999,Sliver,2019-01-27
468,3023,Gold,2019-01-30
208,1246,Diamond,2019-02-08
766,5200,Gold,2019-02-11
464,2984,Gold,2019-02-21
497,3184,Gold,2019-03-03
166,999,Gold,2019-03-05
15,114,Gold,2019-03-05
503,3225,Gold,2019-03-08
1038,9787,Sliver,2019-03-30
737,4791,Gold,2019-04-13
418,2623,Gold,2019-04-14
759,5117,Sliver,2019-04-18
223,1353,Gold,2019-04-18
5,51,Sliver,2019-04-24
159,946,Gold,2019-05-01
1223,13231,Sliver,2019-05-02
662,4293,Gold,2019-05-09
779,5323,Sliver,2019-05-21
1040,9890,Sliver,2019-05-28
545,3458,Gold,2019-05-30
467,3019,Gold,2019-06-05
1247,13660,Gold,2019-06-13
652,4211,Gold,2019-06-16
559,3573,Gold,2019-06-17
719,4663,Gold,2019-06-24
397,2513,Gold,2019-06-24
107,593,Gold,2019-06-27
661,4270,Gold,2019-07-03
484,3116,Gold,2019-07-04
501,3197,Gold,2019-07-09
422,2650,Sliver,2019-07-11
705,4555,Gold,2019-07-12
410,2569,Gold,2019-07-20
136,778,Gold,2019-07-28
592,3782,Sliver,2019-08-07
262,1647,Sliver,2019-08-24
18,128,Gold,2019-08-25
3,41,Diamond,2019-09-03
98,537,Gold,2019-09-06
167,1011,Gold,2019-09-15
97,531,Sliver,2019-09-19
699,4532,Gold,2019-09-26
342,2157,Gold,2019-09-27
713,4627,Gold,2019-09-30
118,652,Gold,2019-10-22
783,5433,Sliver,2019-10-24
1103,11189,Gold,2019-11-04
504,3230,Sliver,2019-11-06
261,1629,Diamond,2019-11-09
296,1876,Diamond,2019-11-13
113,629,Sliver,2019-11-16
92,508,Gold,2019-11-20
1225,13268,Gold,2019-11-22
393,2498,Sliver,2019-12-03
695,4507,Gold,2019-12-15
666,4328,Sliver,2019-12-25
462,2978,Gold,2019-12-30
85,489,Gold,2019-12-31
337,2141,Gold,2020-01-01
771,5233,Gold,2020-01-08
379,2431,Gold,2020-01-12
106,592,Gold,2020-01-14
606,3883,Gold,2020-01-22
427,2688,Diamond,2020-01-25
202,1228,Gold,2020-02-04
814,5911,Gold,2020-02-15
1064,10328,Gold,2020-02-17
14,112,Gold,2020-02-17
423,2657,Gold,2020-02-19
989,9119,Gold,2020-02-21
364,2329,Gold,2020-02-29
267,1691,Sliver,2020-03-09
621,3970,Sliver,2020-03-19
1139,11836,Sliver,2020-03-26
725,4715,Sliver,2020-03-30
150,859,Gold,2020-03-30
302,1900,Gold,2020-03-31
372,2395,Gold,2020-03-31
499,3187,Gold,2020-04-03
229,1384,Gold,2020-04-05
289,1831,Sliver,2020-04-08
1100,11101,Sliver,2020-04-10
37,238,Gold,2020-04-20
286,1812,Diamond,2020-04-21
157,907,Gold,2020-04-24
216,1310,Sliver,2020-04-24
977,8968,Gold,2020-05-08
183,1080,Gold,2020-05-08
945,8342,Sliver,2020-05-09
44,268,Sliver,2020-05-17
600,3829,Gold,2020-05-20
127,714,Gold,2020-05-23
764,5159,Gold,2020-05-29
204,1239,Sliver,2020-05-30
1134,11742,Gold,2020-05-31
312,1971,Gold,2020-06-08
313,1980,Gold,2020-06-17
641,4116,Gold,2020-06-18
731,4751,Gold,2020-06-23
84,487,Gold,2020-06-26
265,1680,Gold,2020-06-28
1176,12502,Diamond,2020-07-03
1233,13382,Gold,2020-07-06
407,2555,Gold,2020-07-11
320,2045,Gold,2020-07-11
1187,12635,Diamond,2020-07-17
121,666,Sliver,2020-07-22
1055,10171,Gold,2020-07-24
303,1912,Gold,2020-08-01
651,4201,Sliver,2020-08-02
736,4789,Gold,2020-08-03
24,153,Sliver,2020-08-05
587,3763,Sliver,2020-08-05
119,655,Gold,2020-08-08
670,4343,Gold,2020-08-08
227,1380,Gold,2020-08-10
1164,12269,Gold,2020-08-12
1043,9974,Sliver,2020-08-14
278,1779,Gold,2020-08-15
103,584,Sliver,2020-08-17
673,4353,Sliver,2020-08-31
38,242,Gold,2020-08-31
470,3036,Gold,2020-09-02
890,7422,Gold,2020-09-08
514,3267,Gold,2020-09-10
741,4832,Gold,2020-09-11
882,7195,Gold,2020-09-11
12,83,Sliver,2020-09-11
152,876,Gold,2020-09-16
163,984,Gold,2020-09-18
708,4568,Sliver,2020-09-24
1087,10887,Gold,2020-10-06
854,6753,Gold,2020-10-07
601,3830,Gold,2020-10-08
99,548,Diamond,2020-10-09
547,3477,Gold,2020-10-11
40,255,Gold,2020-10-13
220,1333,Gold,2020-10-13
390,2490,Gold,2020-10-14
776,5263,Gold,2020-10-19
197,1202,Sliver,2020-10-21
516,3279,Gold,2020-10-25
381,2440,Gold,2020-10-27
1010,9413,Gold,2020-10-27
813,5873,Sliver,2020-10-28
272,1754,Sliver,2020-10-28
772,5243,Gold,2020-10-30
528,3356,Gold,2020-10-31
1014,9452,Gold,2020-11-02
87,493,Gold,2020-11-02
88,496,Gold,2020-11-04
441,2785,Gold,2020-11-05
562,3583,Gold,2020-11-07
690,4479,Gold,2020-11-07
374,2423,Gold,2020-11-08
57,347,Gold,2020-11-09
722,4684,Gold,2020-11-14
300,1890,Gold,2020-11-20
117,649,Sliver,2020-11-23
541,3427,Sliver,2020-11-26
294,1861,Gold,2020-12-04
10,77,Gold,2020-12-07
710,4588,Sliver,2020-12-10
408,2560,Gold,2020-12-10
363,2324,Sliver,2020-12-11
697,4518,Gold,2020-12-11
433,2724,Gold,2020-12-12
642,4137,Gold,2020-12-13
243,1478,Gold,2020-12-13
162,967,Sliver,2020-12-23
594,3794,Sliver,2020-12-27
609,3893,Gold,2020-12-29
1111,11288,Gold,2020-12-31
786,5478,Gold,2020-12-31
1118,11393,Gold,2021-01-02
175,1040,Gold,2021-01-03
565,3601,Diamond,2021-01-06
714,4638,Gold,2021-01-09
137,786,Sliver,2021-01-10
22,138,Gold,2021-01-11
325,2102,Gold,2021-01-12
194,1182,Gold,2021-01-13
668,4340,Gold,2021-01-14
706,4559,Diamond,2021-01-16
850,6644,Gold,2021-01-16
298,1885,Gold,2021-01-17
105,590,Gold,2021-01-17
1036,9735,Gold,2021-01-17
292,1842,Diamond,2021-01-18
112,626,Sliver,2021-01-19
678,4405,Diamond,2021-01-20
1093,11011,Gold,2021-01-20
681,4426,Gold,2021-01-22
582,3733,Gold,2021-01-22
729,4740,Sliver,2021-01-22
54,334,Gold,2021-01-24
258,1607,Gold,2021-01-26
534,3387,Gold,2021-01-29
667,4333,Gold,2021-01-31
195,1194,Gold,2021-02-03
199,1213,Gold,2021-02-07
490,3136,Diamond,2021-02-07
347,2184,Gold,2021-02-11
210,1253,Gold,2021-02-16
293,1850,Gold,2021-02-17
189,1157,Gold,2021-02-19
324,2074,Gold,2021-02-19
578,3689,Sliver,2021-02-21
266,1690,Gold,2021-03-04
568,3615,Gold,2021-03-05
171,1027,Gold,2021-03-05
679,4416,Gold,2021-03-06
841,6468,Gold,2021-03-06
513,3260,Gold,2021-03-15
647,4171,Sliver,2021-03-21
665,4318,Gold,2021-03-24
400,2529,Gold,2021-04-06
617,3944,Diamond,2021-04-09
709,4587,Sliver,2021-04-11
387,2481,Gold,2021-04-18
226,1378,Gold,2021-04-18
350,2226,Gold,2021-04-20
539,3415,Gold,2021-04-23
583,3735,Gold,2021-04-24
576,3671,Gold,2021-04-30
232,1396,Gold,2021-05-01
730,4749,Gold,2021-05-02
616,3943,Gold,2021-05-05
564,3590,Gold,2021-05-06
82,474,Gold,2021-05-07
1173,12442,Gold,2021-05-08
426,2686,Gold,2021-05-09
791,5521,Gold,2021-05-12
572,3636,Sliver,2021-05-16
375,2425,Sliver,2021-05-17
69,438,Gold,2021-05-17
607,3885,Gold,2021-05-17
155,900,Sliver,2021-05-17
275,1762,Gold,2021-05-20
847,6610,Gold,2021-05-20
399,2527,Gold,2021-05-22
305,1914,Gold,2021-05-23
430,2713,Gold,2021-05-26
349,2214,Gold,2021-05-26
256,1583,Gold,2021-05-26
50,309,Gold,2021-05-28
939,8217,Sliver,2021-05-29
110,608,Gold,2021-05-31
184,1089,Diamond,2021-06-03
90,503,Gold,2021-06-04
597,3813,Sliver,2021-06-06
471,3037,Gold,2021-06-09
494,3173,Gold,2021-06-10
211,1271,Gold,2021-06-10
353,2259,Gold,2021-06-11
213,1289,Diamond,2021-06-11
1009,9409,Diamond,2021-06-14
297,1883,Gold,2021-06-15
801,5684,Gold,2021-06-15
748,4923,Gold,2021-06-16
133,742,Gold,2021-06-16
316,2013,Gold,2021-06-17
145,819,Gold,2021-06-17
270,1736,Sliver,2021-06-17
1178,12542,Gold,2021-06-19
222,1345,Gold,2021-06-19
241,1461,Gold,2021-06-20
280,1793,Gold,2021-06-22
675,4376,Gold,2021-06-23
108,597,Gold,2021-06-25
1196,12805,Gold,2021-06-27
287,1819,Sliver,2021-06-28
443,2808,Gold,2021-06-29
1138,11825,Gold,2021-06-29
733,4764,Sliver,2021-06-30
311,1954,Gold,2021-07-01
120,662,Gold,2021-07-03
122,667,Sliver,2021-07-03
476,3079,Gold,2021-07-06
781,5366,Gold,2021-07-07
588,3765,Gold,2021-07-08
403,2538,Sliver,2021-07-12
139,797,Gold,2021-07-14
553,3522,Gold,2021-07-14
625,3987,Gold,2021-07-17
413,2592,Sliver,2021-07-20
591,3779,Gold,2021-07-23
694,4504,Gold,2021-07-24
512,3259,Gold,2021-07-24
1095,11023,Diamond,2021-07-28
1059,10235,Gold,2021-07-29
75,457,Gold,2021-07-29
383,2469,Gold,2021-07-30
115,638,Gold,2021-07-30
884,7286,Diamond,2021-07-31
454,2921,Gold,2021-08-01
688,4472,Gold,2021-08-01
936,8030,Gold,2021-08-02
663,4295,Gold,2021-08-06
637,4094,Sliver,2021-08-06
511,3257,Sliver,2021-08-06
1220,13160,Gold,2021-08-08
628,4007,Gold,2021-08-11
718,4660,Gold,2021-08-12
238,1452,Diamond,2021-08-17
546,3465,Diamond,2021-08-19
660,4265,Sliver,2021-08-19
491,3151,Gold,2021-08-21
140,798,Gold,2021-08-22
502,3201,Gold,2021-08-22
598,3821,Gold,2021-08-23
355,2267,Gold,2021-08-28
43,267,Gold,2021-08-29
610,3894,Gold,2021-08-29
182,1067,Diamond,2021-08-31
41,256,Gold,2021-08-31
91,504,Sliver,2021-09-01
252,1529,Gold,2021-09-02
495,3181,Gold,2021-09-02
259,1610,Gold,2021-09-05
187,1140,Gold,2021-09-07
185,1098,Gold,2021-09-07
1025,9625,Gold,2021-09-08
19,130,Gold,2021-09-09
431,2715,Diamond,2021-09-12
356,2268,Gold,2021-09-13
767,5204,Gold,2021-09-14
537,3405,Gold,2021-09-15
703,4546,Gold,2021-09-17
671,4345,Gold,2021-09-17
896,7567,Gold,2021-09-18
343,2164,Gold,2021-09-21
279,1791,Gold,2021-09-21
622,3981,Sliver,2021-09-22
612,3906,Gold,2021-09-22
206,1243,Gold,2021-09-22
190,1165,Gold,2021-09-23
1203,12893,Gold,2021-09-26
234,1424,Gold,2021-09-29
30,202,Gold,2021-10-01
327,2117,Gold,2021-10-03
49,305,Gold,2021-10-03
1115,11375,Sliver,2021-10-03
698,4522,Diamond,2021-10-07
874,7127,Diamond,2021-10-07
247,1500,Sliver,2021-10-08
656,4235,Gold,2021-10-08
436,2759,Gold,2021-10-09
124,688,Gold,2021-10-10
633,4078,Gold,2021-10-12
428,2698,Gold,2021-10-13
638,4100,Diamond,2021-10-14
153,886,Diamond,2021-10-19
596,3811,Gold,2021-10-19
664,4316,Gold,2021-10-22
251,1525,Gold,2021-10-23
552,3519,Gold,2021-10-25
9,76,Gold,2021-10-25
11,79,Diamond,2021-10-25
650,4194,Gold,2021-10-26
59,365,Gold,2021-10-27
1016,9525,Gold,2021-10-28
359,2299,Gold,2021-10-29
438,2768,Gold,2021-10-30
94,513,Gold,2021-11-06
1056,10220,Gold,2021-11-06
273,1758,Gold,2021-11-07
947,8366,Gold,2021-11-08
93,510,Gold,2021-11-09
762,5132,Gold,2021-11-10
254,1578,Gold,2021-11-11
611,3896,Gold,2021-11-13
648,4188,Gold,2021-11-18
373,2401,Gold,2021-11-18
579,3699,Gold,2021-11-18
555,3544,Gold,2021-11-19
329,2122,Diamond,2021-11-19
707,4560,Gold,2021-11-21
51,321,Gold,2021-11-21
382,2445,Diamond,2021-11-22
472,3056,Gold,2021-11-24
237,1445,Gold,2021-11-25
1234,13386,Gold,2021-11-28
86,490,Gold,2021-11-28
540,3425,Gold,2021-11-29
493,3167,Gold,2021-11-30
532,3382,Gold,2021-11-30
590,3769,Gold,2021-12-02
942,8295,Gold,2021-12-02
33,221,Sliver,2021-12-03
739,4821,Gold,2021-12-03
45,272,Gold,2021-12-05
25,158,Gold,2021-12-06
200,1220,Diamond,2021-12-09
268,1707,Diamond,2021-12-11
507,3245,Gold,2021-12-11
569,3616,Gold,2021-12-12
282,1799,Diamond,2021-12-13
536,3404,Gold,2021-12-13
1022,9606,Gold,2021-12-13
1105,11237,Gold,2021-12-13
326,2104,Gold,2021-12-14
380,2434,Gold,2021-12-15
723,4699,Gold,2021-12-15
81,473,Gold,2021-12-17
521,3310,Gold,2021-12-17
608,3890,Gold,2021-12-17
589,3766,Sliver,2021-12-20
281,1795,Gold,2021-12-22
891,7434,Gold,2021-12-23
774,5249,Gold,2021-12-25
566,3606,Gold,2021-12-25
575,3667,Diamond,2021-12-25
154,887,Gold,2021-12-28
130,722,Gold,2021-12-29
434,2739,Gold,2021-12-30
83,483,Gold,2022-01-05
593,3787,Sliver,2022-01-06
